t0052208	t0052208	Ophichthus bicolor McCosker & Ho, 2015	t0052208	t0052208	高鰭蛇鰻	Species	Ophichthus	Ophichthidae	Anguilliformes	Teleostei	Chordata	Animalia	Ophichthus bicolor	accepted
t0053472	t0053472	Anthemis galilaea var. brachyota Eig	t0053472	t0053472	鱧腸	Species	Eclipta	Asteraceae	Asterales	Magnoliopsida	Tracheophyta	Plantae	Anthemis galilaea var. brachyota	not-accepted
t0088168	t0088168	Fulvimarina	t0088168	t0088168		Genus		Aurantimonadaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Fulvimarina	accepted
t0051429	t0051429	Hyalobole taiwanensis Hreblay & Ronkay, 1998	t0051429	t0051429		Species	Hyalobole	Noctuidae	Lepidoptera	Insecta	Arthropoda	Animalia	Hyalobole taiwanensis	accepted
t0022568	t0022568	Mesochria	t0022568	t0022568		Genus		Mycetobiidae	Diptera	Insecta	Arthropoda	Animalia	Mesochria	accepted
t0020569	t0020569	Hemipsocus	t0020569	t0020569	半嚙蟲屬	Genus		Hemipsocidae	Psocodea	Insecta	Arthropoda	Animalia	Hemipsocus	accepted
t0083594	t0083594	Pavona maldivensis	t0083594	t0083594	馬島雀屏珊瑚	Species	Pavona	Agariciidae	Scleractinia	Hexacorallia	Cnidaria	Animalia	Pavona maldivensis	accepted
t0079546	t0079546	Crenulilimopsis oblonga	t0079546	t0079546	卵形笠蚶	Species	Crenulilimopsis	Limopsidae	Arcida	Bivalvia	Mollusca	Animalia	Crenulilimopsis oblonga	accepted
t0000055	t0000055	Elusimicrobia	t0000055	t0000055		Phylum						Bacteria	Elusimicrobia	accepted
t0059254	t0059254	Achnanthes deflexa Reimer	t0059254	t0059254		Species	Achnanthidium	Achnanthidiaceae	Cocconeidales	Bacillariophyceae	Ochrophyta	Chromista	Achnanthes deflexa	not-accepted
